Rank,Modelo,MAE,MedAE,RMSE,MAPE,WMAPE,R2
1,XGBoost (lag + full + 1200 trees),68.05068783078343,34.92022370098757,126.98219228106916,32.2668017195959,32.69766621868273,0.4785049898234014
2,LightGBM (lag + full + 1200 trees),68.09325060924694,35.0239398915987,126.99802193561024,32.12471161545186,32.71811720261693,0.47837496213607056
3,Ridge,75.12799920148227,39.42351079695604,136.91748139649118,36.20327432967566,36.098242646363104,0.39370732773604633
4,Baseline (Mediana),105.2540302075697,67.03877962679582,179.22465262591305,69.02734288980868,50.57349539884351,-0.03886714264890245
