Rank,Modelo,MAE,MedAE,RMSE,MAPE,WMAPE,R2
1,XGBoost,39.506673114649935,16.567736685082295,89.081388089994,17.563344269770347,18.982556269314912,0.743351655388412
2,LightGBM,39.53868783910404,16.372805539490606,90.10731027297898,17.509077979030394,18.99793902013863,0.7374061394023693
3,Random Forest,40.3005894174023,16.52459441923643,91.1131546482436,18.73979998109717,19.364025011225625,0.7315108850458527
4,Lasso,45.146504279707024,19.900219937675168,103.59627480364418,21.3132489154678,21.692438018391687,0.6529014543638864
5,Linear Regression,45.30835705659081,17.37542930609962,133.14911432417458,27.86126992399361,21.77020663828092,0.4266219280924636
6,Ridge,45.33611133247757,19.47479426129449,102.85260571166951,20.55167263047482,21.783542286722025,0.6578668834069828
7,MLP,50.72880610637493,20.199888337944557,105.40137395775888,20.391986105241738,24.374677503085945,0.6407001298238002
8,Baseline (Mediana),105.2540302075697,67.03877962679582,179.22465262591305,69.02734288980868,50.57349539884351,-0.03886714264890245
