Rank,Modelo,MAE,MedAE,RMSE,MAPE,WMAPE,R2
1,XGBoost (full + tuned),68.16489533958475,35.33751860566954,126.71628101464981,32.59993624314933,32.75254176985626,0.4806868107761024
2,LightGBM (full + tuned),68.18962827589532,35.39324136153621,126.7428907717969,32.57972894368288,32.76442569523409,0.48046868176102164
3,Ridge,75.07364717091438,39.1896931083635,137.38068920199785,36.11260661268752,36.07212704620583,0.3895980708065372
4,Baseline (Mediana),105.2540302075697,67.03877962679582,179.22465262591305,69.02734288980868,50.57349539884351,-0.03886714264890245
