Rank,Modelo,MAE,MedAE,RMSE,MAPE,WMAPE,R2
1,LightGBM (+ zipcode_te),39.72270851909934,16.461985653873313,89.71588904041765,17.5969265582864,19.08635909293471,0.7396825710584136
2,XGBoost (+ zipcode_te),40.10502613287585,16.54260253398064,90.46346257823724,17.704042315421127,19.270058833867125,0.7353262141267864
3,Ridge,44.57768023027727,18.588321769940986,102.70649240624454,20.02838703425066,21.419123824247716,0.6588382674950855
4,Baseline (Mediana),105.2540302075697,67.03877962679582,179.22465262591305,69.02734288980868,50.57349539884351,-0.03886714264890245
