appliance_type,avg_annual_savings_kwh
Refrigerator,79.0
Upright freezer,155.0
Fridge-freezer,271.0
Chest freezer,184.0
Cold appliances per household,310.0
Lighting,58.0
Washing machine,9.0
Clothes dryer,191.0
Dishwasher,88.0
Audiovisual site,100.0
Computer site,117.0
